# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Source Name (1)}
# - {name: Type, datatype: string, description: '[ABTUDGPVZ (?)] X-ray type (2)'}
# - {name: RA, unit: deg, datatype: float64}
# - {name: u_RAs, datatype: string, description: Uncertainty flag on RAs}
# - {name: DE, unit: deg, datatype: float64}
# - {name: u_DEs, datatype: string, description: Uncertainty flag on DEs}
# - {name: GLON, unit: deg, datatype: float64, description: Galactic longitude}
# - {name: GLAT, unit: deg, datatype: float64, description: Galactic latitude}
# - {name: Pos, datatype: string, description: Type of observation from which the sourceposition has been derived (3)}
# - {name: e_Pos, unit: arcsec, datatype: float64, description: Accuracy of the position (4)}
# - {name: Opt, datatype: string, description: Optical counterpart (5)}
# - {name: '---', datatype: string, description: '([)'}
# - {name: r_Opt, datatype: string, description: 'References for Optical counterpart (findingcharts) (in [lh]mxbrefs.dat files)'}
# - {name: '---_1', datatype: string, description: '(])'}
# - {name: Vmag, unit: mag, datatype: float64, description: V magnitude (6)}
# - {name: '---_2', datatype: string, description: '[-]'}
# - {name: Vmagl, unit: mag, datatype: float64, description: Lower magnitude when interval}
# - {name: u_Vmag, datatype: string, description: Uncertainty flag on Vmag}
# - {name: B-V, unit: mag, datatype: float64, description: B-V colour index}
# - {name: u_B-V, datatype: string, description: Uncertainty flag on B-V}
# - {name: '---_3', datatype: string, description: '[-]'}
# - {name: B-Vl, unit: mag, datatype: float64, description: Lower B-V colour index when interval}
# - {name: U-B, unit: mag, datatype: float64, description: U-B colour index}
# - {name: l_E(B-V), datatype: string, description: '[~<>] Limit flag on E(B-V)'}
# - {name: E(B-V), unit: mag, datatype: float64, description: Interstellar reddening}
# - {name: '---_4', datatype: string, description: '[-]'}
# - {name: l_E(B-V)2, datatype: string, description: '[>= ] Limit flag on E(B-V)2'}
# - {name: E(B-V)2, unit: mag, datatype: float64, description: Second value of E(B-V) when interval}
# - {name: u_E(B-V), datatype: string, description: '[:P] Uncertainty flag on E(B-V)'}
# - {name: '---_5', datatype: string, description: '([)'}
# - {name: r_Vmag, datatype: string, description: 'References for UBV photometry,in [lh]mxbrefs.dat files'}
# - {name: '---_6', datatype: string, description: '(])'}
# - {name: l_Fx, datatype: string, description: Limit flag on Fx}
# - {name: Fx, unit: uJy, datatype: float64, description: Average X-ray flux (2-10keV)}
# - {name: '---_7', datatype: string, description: '[-]'}
# - {name: Fxu, unit: uJy, datatype: float64, description: Upper limit of X-ray flux when interval}
# - {name: Range, datatype: string, description: Energy range for flux if not 2-20keV}
# - {name: '---_8', datatype: string, description: '([)'}
# - {name: r_Fx, datatype: string, description: 'References for X-ray flux,in [lh]mxbrefs.dat files'}
# - {name: '---_9', datatype: string, description: '(])'}
# - {name: Porb, unit: d, datatype: float64, description: Orbital period}
# - {name: '---_10', datatype: string, description: '[-]'}
# - {name: Porb2, unit: d, datatype: float64, description: Second value of Porb when interval}
# - {name: u_Porb, datatype: string, description: '[?:d] Uncertainty flag on Porb'}
# - {name: Ppulse, unit: s, datatype: float64, description: Pulse period for X-ray pulsars}
# - {name: u_Ppulse, datatype: string, description: '[?] Uncertainty flag on Ppulse'}
# - {name: '---_11', datatype: string, description: '([)'}
# - {name: r_Ppulse, datatype: string, description: 'References for Pulse period,in [lh]mxbrefs.dat files'}
# - {name: '---_12', datatype: string, description: '(])'}
# - {name: Cat, datatype: string, description: 'Survey catalogues and experiments in which thesource was listed and detected, respectively
#     (7)'}
# - {name: SpType, datatype: string, description: Spectral type}
# - {name: Name2, datatype: string, description: Other name}
# - {name: u_Name2, datatype: string, description: '[?] Uncertainty flag on Name2'}
# - {name: '---_13', datatype: string, description: '[,]'}
# - {name: Name3, datatype: string, description: Other name (8)}
# - {name: class, datatype: string}
# schema: astropy-2.0
Name Type RA u_RAs DE u_DEs GLON GLAT Pos e_Pos Opt --- r_Opt ---_1 Vmag ---_2 Vmagl u_Vmag B-V u_B-V ---_3 B-Vl U-B l_E(B-V) E(B-V) ---_4 l_E(B-V)2 E(B-V)2 u_E(B-V) ---_5 r_Vmag ---_6 l_Fx Fx ---_7 Fxu Range ---_8 r_Fx ---_9 Porb ---_10 Porb2 u_Porb Ppulse u_Ppulse ---_11 r_Ppulse ---_12 Cat SpType Name2 u_Name2 ---_13 Name3 class
0042+323 T 11.209999999999999 "" 33.021388888888886 "" 121.3 -29.8 x 60.0 *3 [ 168 ] 19.3 "" "" "" 0.6 "" "" "" "" "" 0.2 "" "" "" "" [ 168 ] < 0.5 - 55.0 "" [ 103 ] "" "" "" "" "" "" "" "" "" U,M,A,AS,R,B,X "" "XN Per 1992" "" "" "" lmxb
J0422+32 T 64.62458333333333 "" 32.79 "" 197.3 -11.9 o,r "" "" "" "" "" 13.2 "" "" "" 0.3 "" "" "" -0.5 "" 0.23 - "" 0.4 "" [ 1151,1158,1159 ] "" 3000.0 "" "" (20-300keV) [ 433,991 ] 5.1 "" "" "" "" "" [ 125,150,664,980 ] C,Gr,R,K,AS,X "" "" "" "" "" lmxb
0512-401 GB 78.52749999999999 "" -40.04361111111111 "" 244.5 -35.0 x 2.0 NGC1851 [ 475 ] "" "" "" "" "" "" "" "" "" "" 0.1 "" "" "" : [ 2 ] "" 3.0 - 6.0 "" [ 124,999,1366 ] "" "" "" "" "" "" "" "" "" U,M,A,H,G,Exo "" "" "" "" "" lmxb
0521-720 Z? 80.12166666666666 "" -71.96000000000001 "" 283.1 -32.7 o 3.0 *22 [ 637 ] 18.0 - 19.0 "" 0.0 "" "" "" -0.8 "" 0.1 "" "" "" "" [ 121,260,778 ] "" 9.0 - 44.0 "" [ 103 ] 8.16 "" "" "" "" "" [ 121,1173 ] U,M,A,H,X,R "" "LMC X-2" "" "" "" lmxb
J0532.7-6926 "" 83.17833333333333 "" -69.43833333333333 "" 279.9 -32.1 x 3.9 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.5 "" "" "" [ 484 ] "" "" "" "" "" "" "" "" "" R "" "" "" "" "" lmxb
0614+091 AB 94.28041666666667 "" 9.136944444444444 "" 200.9 -3.4 o "" "V1055 Ori" [ 323,447 ] 18.5 "" "" "" 0.3 "" "" "" -0.5 "" 0.3 "" "" "" "" [ 287 ] "" 50.0 "" "" "" [ 1399,1448 ] "" "" "" "" "" "" "" "" "" U,M,A,H,S,Gr,E,Exo,X,B "" "" "" "" "" lmxb
0620-003 TU 95.68541666666665 "" -0.3458333333333333 "" 210.0 -6.5 o "" "V616 Mon" [ 331,447 ] 11.2 "" "" "" 0.2 "" "" "" -0.8 "" 0.4 "" "" "" "" [ 1407 ] < 0.02 - 50000.0 "" [ 774,1407 ] 7.75 "" "" "" "" "" [ 857 ] A,S,R "" "N Mon 1975" "" "" "" lmxb
0656-072 T 104.61250000000001 "" -7.263888888888889 "" 220.2 -1.7 x 180.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 20.0 - 80.0 "" [ 143,215,656 ] "" "" "" "" "" "" "" "" "" A "" "" "" "" "" lmxb
0748-676 TBD 117.14083333333333 "" -67.7525 "" 280.0 -19.3 o "" "UY Vol" [ 1262 ] 16.9 - 17.5 "" 0.1 "" "" "" -0.9 "" 0.42 "" "" "" "" [ 1125,1128 ] "" 0.1 - 60.0 "" [ 443 ] 3.82 "" "" "" "" "" [ 998,1001 ] Exo,AS,R,G,X "" "" "" "" "" lmxb
J0835.9+5118 TB 128.98333333333335 "" 51.309999999999995 "" 167.5 36.9 x 180.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" < 6.0 "" "" "" [ 399 ] "" "" "" "" "" "" "" "" "" B "" "" "" "" "" lmxb
0836-429 TB 129.34583333333333 "" -42.88583333333333 "" 261.9 -1.1 x 60.0 "" [ 72 ] "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.0 - 55.0 "" [ 230,511,794 ] "" "" "" "" "" "" "" "" "" U,M,Gr,G,R "" "" "" "" "" lmxb
0918-549 "" 140.11166666666668 "" -55.20666666666667 "" 275.9 -3.8 x 5.0 *X [ 187 ] 21.0 "" "" "" 0.3 "" "" "" -0.9 "" 0.3 "" "" "" "" [ 187,1348 ] "" 10.0 "" "" "" [ 187 ] "" "" "" "" "" "" "" "" "" U,M,A,H,S "" "" "" "" "" lmxb
