# %ECSV 0.9
# ---
# datatype:
# - {name: RA, unit: h, datatype: float64}
# - {name: DE, unit: deg, datatype: float64}
# - {name: Name, datatype: string, description: Source Name (1)}
# - {name: class, datatype: string}
# schema: astropy-2.0
RA DE Name class
2.3066666666666666 33.0 0042+323 lmxb
1.0983333333333334 32.0 J0422+32 lmxb
0.5766666666666667 -40.0 0512-401 lmxb
1.1533333333333333 -71.0 0521-720 lmxb
1.78 -69.0 J0532.7-6926 lmxb
0.6883333333333332 9.0 0614+091 lmxb
1.475 -0.0 0620-003 lmxb
2.3833333333333333 -7.0 0656-072 lmxb
2.1633333333333336 -67.0 0748-676 lmxb
2.1 51.0 J0835.9+5118 lmxb
1.6166666666666667 -42.0 0836-429 lmxb
1.1133333333333333 -55.0 0918-549 lmxb
1.3116666666666668 -63.0 0921-630 lmxb
1.0333333333333332 -45.0 1009-45 lmxb
0.7808333333333334 48.0 J1118+480 lmxb
1.3116666666666668 -68.0 1124-684 lmxb
2.5199999999999996 -69.0 1254-690 lmxb
1.4683333333333333 -62.0 1323-619 lmxb
2.095 -64.0 1354-645 lmxb
2.3 -31.0 1455-314 lmxb
1.3483333333333334 -57.0 1516-569 lmxb
1.22 -61.0 1524-617 lmxb
1.71 -47.0 1543-475 lmxb
2.48 -62.0 1543-624 lmxb
2.646333333333333 -56.0 J1550-564 lmxb
0.07166666666666666 -60.0 1556-605 lmxb
0.9299999999999999 25.0 1603.6+2600 lmxb
1.0 -77.0 J1603.9-7753 lmxb
1.1166666666666667 -52.0 1608-522 lmxb
1.5516666666666665 -15.0 1617-155 lmxb
0.9733333333333333 -49.0 1624-490 lmxb
1.3466666666666667 -67.0 1627-673 lmxb
1.1400000000000001 -47.0 1630-472 lmxb
1.6666666666666667 -47.0 1632-477 lmxb
2.2583333333333333 -53.0 1636-536 lmxb
2.295 -45.0 1642-455 lmxb
1.8022833333333332 -39.0 J1655-40 lmxb
2.73 35.0 1656+354 lmxb
0.1716666666666667 -29.0 1658-298 lmxb
0.8916666666666666 -48.0 1659-487 lmxb
0.9083333333333333 -36.0 1702-363 lmxb
0.455 -43.0 1702-429 lmxb
0.7766666666666667 23.0 1704+240 lmxb
0.51 -25.0 1705-250 lmxb
1.1783333333333335 -44.0 1705-440 lmxb
0.7833333333333333 -40.0 1708-408 lmxb
0.8033333333333333 -26.0 J1709-267 lmxb
0.5383333333333333 -28.0 J1710-281 lmxb
0.7866666666666667 -34.0 1711-339 lmxb
0.9666666666666667 -37.0 J1712.6-3739 lmxb
1.3900000000000001 -32.0 1715-321 lmxb
1.2483333333333335 -25.0 1716-249 lmxb
1.0021666666666667 -40.0 J171824.2-402934 lmxb
1.4 -37.0 J1723-376 lmxb
1.55 -35.0 1724-356 lmxb
1.4533333333333334 -30.0 1724-307 lmxb
1.99 -33.0 1728-337 lmxb
1.77 -16.0 1728-169 lmxb
1.1033333333333333 -24.0 1728-247 lmxb
1.6333333333333333 -31.0 1730-312 lmxb
1.5016666666666665 -33.0 1730-335 lmxb
2.05 -22.0 1730-220 lmxb
1.35 -26.0 1731-260 lmxb
1.96 -30.0 1732-304 lmxb
1.2333333333333334 -27.0 1732-273 lmxb
1.65 -29.0 1734-292 lmxb
1.5333333333333332 -27.0 1735-269 lmxb
2.2383333333333333 -44.0 1735-444 lmxb
1.8333333333333333 -28.0 1735-28 lmxb
1.8499999999999999 -29.0 1736-297 lmxb
2.2333333333333334 -30.0 1737-31 lmxb
2.283333333333333 -28.0 1737-282 lmxb
2.0166666666666666 -27.0 1739-278 lmxb
2.1333333333333333 -30.0 1739-304 lmxb
2.216666666666667 -29.0 1740-294 lmxb
2.3449999999999998 -29.0 1740.7-2942 lmxb
1.8900000000000001 -29.0 1741.2-2859 lmxb
2.283333333333333 -29.0 1741-293 lmxb
1.5333333333333332 -32.0 1741-322 lmxb
1.5166666666666666 -28.0 1741.9-2853 lmxb
1.9833333333333334 -32.0 1742-326 lmxb
1.9433333333333331 -28.0 1742.2-2857 lmxb
2.1166666666666667 -29.0 1742-294 lmxb
2.1166666666666667 -29.0 1742-289 lmxb
2.1783333333333332 -29.0 1742.5-2859 lmxb
2.215 -28.0 1742.5-2845 lmxb
2.381666666666667 -29.0 1742.7-2902 lmxb
1.5333333333333332 -28.0 1742.8-2853 lmxb
1.615 -28.0 1742.9-2852 lmxb
1.6366666666666667 -29.0 1742-294 lmxb
1.695 -28.0 1742.9-2849 lmxb
1.8533333333333333 -28.0 1743.1-2843 lmxb
1.8583333333333334 -28.0 1743.1-2852 lmxb
2.3166666666666664 -28.0 1743-288 lmxb
1.995 -29.0 1744-299 lmxb
2.018333333333333 -28.0 J1744-28 lmxb
1.9983333333333333 -30.0 1744-300 lmxb
2.5 -26.0 1744-265 lmxb
1.8233333333333335 -36.0 1744-361 lmxb
2.1 -29.0 J1745.6-2901 lmxb
2.533333333333333 -24.0 1745-248 lmxb
2.4916666666666667 -20.0 1745-203 lmxb
2.4766666666666666 -33.0 1746-331 lmxb
1.7249999999999999 -32.0 1746.7-3224 lmxb
1.8783333333333334 -37.0 1746-370 lmxb
2.095 -21.0 1747-214 lmxb
2.425 -31.0 1747-313 lmxb
1.6843333333333332 -28.0 J1748-288 lmxb
2.49 -20.0 J1748.9-2021 lmxb
2.0 -28.0 1749-285 lmxb
2.0666666666666664 -29.0 J1750.8-2900 lmxb
2.1333333333333333 -31.0 J1752.3-3138 lmxb
2.6 -33.0 1755-338 lmxb
2.31 -32.0 J1755-324 lmxb
0.16999999999999998 -25.0 1758-250 lmxb
0.245 -25.0 1758-258 lmxb
0.5716666666666667 -20.0 1758-205 lmxb
1.0366666666666666 -24.0 1803-245 lmxb
1.05 -24.0 J1806-246 lmxb
0.7256666666666667 -36.0 J1808.4-3658 lmxb
