Id,Name,Type,RA,DE,GLON,GLAT,Opt,r_Opt,Vmag,B-V,U-B,E(B-V),r_Vmag,Fx,Range,r_Fx,Porb,Porb2,Ppulse,r_Ppulse,Cat,SpType,class
1,2A 0042+323,T,11.209999999999999,33.021388888888886,121.3,-29.8,*3,168,19.3,0.6,,0.2,168,0.5,,103,,,,,"U,M,A,AS,R,B,X",,lmxb
2,GRO J0422+32,T,64.62458333333333,32.79,197.3,-11.9,,,13.2,0.3,-0.5,0.23,"1151,1158,1159",3000.0,(20-300keV),"433,991",5.1,,,"125,150,664,980","C,Gr,R,K,AS,X",,lmxb
3,3A 0512-401,GB,78.52749999999999,-40.04361111111111,244.5,-35.0,NGC1851,475,,,,0.1,2,3.0,,"124,999,1366",,,,,"U,M,A,H,G,Exo",,lmxb
4,1M 0521-720,Z?,80.12166666666666,-71.96000000000001,283.1,-32.7,*22,637,18.0,0.0,-0.8,0.1,"121,260,778",9.0,,103,8.16,,,"121,1173","U,M,A,H,X,R",,lmxb
5,RX J0532.7-6926,,83.17833333333333,-69.43833333333333,279.9,-32.1,,,,,,,,0.5,,484,,,,,R,,lmxb
6,4U 0614+091,AB,94.28041666666667,9.136944444444444,200.9,-3.4,V1055 Ori,"323,447",18.5,0.3,-0.5,0.3,287,50.0,,"1399,1448",,,,,"U,M,A,H,S,Gr,E,Exo,X,B",,lmxb
7,3A 0620-003,TU,95.68541666666665,-0.3458333333333333,210.0,-6.5,V616 Mon,"331,447",11.2,0.2,-0.8,0.4,1407,0.02,,"774,1407",7.75,,,857,"A,S,R",,lmxb
8,3A 0656-072,T,104.61250000000001,-7.263888888888889,220.2,-1.7,,,,,,,,20.0,,"143,215,656",,,,,A,,lmxb
9,EXO 0748-676,TBD,117.14083333333333,-67.7525,280.0,-19.3,UY Vol,1262,16.9,0.1,-0.9,0.42,"1125,1128",0.1,,443,3.82,,,"998,1001","Exo,AS,R,G,X",,lmxb
10,SAX J0835.9+5118,TB,128.98333333333335,51.309999999999995,167.5,36.9,,,,,,,,6.0,,399,,,,,B,,lmxb
11,4U 0836-429,TB,129.34583333333333,-42.88583333333333,261.9,-1.1,,72,,,,,,1.0,,"230,511,794",,,,,"U,M,Gr,G,R",,lmxb
12,3A 0918-549,,140.11166666666668,-55.20666666666667,275.9,-3.8,*X,187,21.0,0.3,-0.9,0.3,"187,1348",10.0,,187,,,,,"U,M,A,H,S",,lmxb
13,3A 0921-630,D,140.64458333333334,-63.294999999999995,281.8,-9.3,V395 Car,760,15.3,0.6,-0.5,0.2,"113,186,847,1348",3.0,,"760,847",216.2,,,"846,847","A,S,Exo",,lmxb
14,1GRO 1009-45,TU,153.4,-45.07638888888889,275.4,9.4,*1,"306,1140",14.71,0.13,,0.2,306,800.0,(1-10keV),1263,,,,,"C, AS, Gr",,lmxb
15,XTE J1118+480,TA?,169.54520833333333,48.03691666666666,157.6,62.3,*1,1312,12.25,,,0.024,"410,1312",40.0,(2-12keV),1084,4.1,,,"232,1312","AS,X,C",,lmxb
16,GS 1124-684,TU,171.61124999999998,-68.67583333333334,295.0,-6.1,,303,13.6,0.3,,0.25,"303,435",4.0,,"1235,1241",10.4,,,"27,867,1075","Gr,G,C",,lmxb
17,4U 1254-690,BD,194.405,-69.28916666666666,303.5,-6.4,GR Mus,463,19.1,0.3,,0.35,927,25.0,,247,3.93,,,"247,927","U,M,A,H,S,X,G",,lmxb
18,4U 1323-619,BD,201.65041666666667,-62.13611111111111,307.1,0.2,,1000,,,,5.0,1000,7.0,,"1000,1399",2.93,,,1000,"U,M,A,B",,lmxb
19,GS 1354-645,TU,209.54041666666666,-64.73472222222222,310.0,-2.8,BW Cir,678,16.9,1.1,-0.1,1.0,678,5.0,,"678,1135",,,,,"M,G,X",,lmxb
20,1RX 1455-314,TB,224.59166666666667,-31.66888888888889,332.2,23.9,V822 Cen,141,12.8,0.05,-0.9,0.1,"84,141",0.1,,"231,1350",15.1,,,"196,254,858","V,A,Ha,AS,B,R",,lmxb
21,4U 1516-569,TBA,230.17041666666665,-57.16694444444444,322.1,0.0,BR Cir,916,21.4,,,1.0,"916,1216",5.0,,103,398.4,,,655,"U,M,A,H,S,AS,X",,lmxb
