idx,date_time,proposal_id,target_id,obsid,object,ra,dec,ins,abstract,PI
1,2018-09-08 00:58:44,G08_066,T02,G08_066T02_9000002346,NGC 985,38.657792,-8.788100,uvit2,"Ringed early-type galaxies (R-ETGs) are a rare and important class of objects which can help one investigate a veriety of topics ranging from the dark matter contents of galaxies, their haloes, to the mechanism by which Early-type galaxies are rejuvenated. In the cases studied so far, the rings around R-ETGs are generally bluer than the cores and often show active star formation. As a continuation of our ongoing survey of R_ETGs, here, we propose to carry out a deep UV imaging study of three R-ETGs, where existing GALEX images and data from other wavelengths indicate intriguing appearances and demand for deeper imaging observations. For this proposal, our sample consists of an apparently empty R-ETG, a seyfert 1 ring galaxy and an E4 ring galaxy.",reks
2,2018-09-08 10:05:00,A04_104,T03,A04_104T03_9000002348,Mrk 509,311.040700,-10.723457,sxt,"Study of $\Gamma_x-L/L_{edd}$ relation in Seyfert galaxies is one way of establishing the connection between basic properties of accreting supermassive black holes and the emergent continuum radiation. Several studies carried out in the past mainly used spectral shape obtained from soft X-ray spectra. AstroSat gives an unique opportunity to study spectral shape over the wider band of 0.3-100 keV, which will enable us to constrain the $\Gamma_x-L/L_{edd}$ relation. We have identified a sample of hard X-ray (Swift/BAT) selected bright Seyfert galaxies with measured mass and propose 20 ks (each) observations of four bright type 1 Seyferts to augment this sample with a precise measurement of the spectral shape. We also plan to study the short term X-ray variability in these objects.",KISHOR_NBU_APDC
3,2018-09-09 06:55:34,G08_081,T01,G08_081T01_9000002350,EXO 2030+375,308.063667,37.637472,sxt,"The Be X-ray binary pulsar EXO 2030+375 showed strikingly peculiar behaviour for the second time on July 20, 2016 after a gap of about 10 years resulting in a sudden orbital phase-shift of outburst peak which occur due to periastron passage of the neutron star. This event causes change in the spectral and temporal properties of the binary system as was seen during earlier occurrence in 1995. We, therefore, propose simultaneous multi-wavelength observations for timing and spectroscopic studies in X-rays and Optical wavebands as a function of spin-period phase of the pulsar and possibly at different luminosities to investigate possible cause of such event.",Kmukerjee
4,2018-09-10 04:06:12,T02_087,T01,T02_087T01_9000002352,GX 17+2,274.005787,-14.036283,laxpc2,"Fast-timing X-ray features, such as kilohertz quasi-periodic oscillations (kHz QPOs), of neutron star low-mass X-ray binaries (LMXBs) are ideal tools to probe the fundamental physics of dense matter and strong gravity. However, so far these features could not be studied in a broad energy band extending below 2 keV. This can now be done with NICER and AstroSat/LAXPC, which together cover the 0.2-80 keV band, and currently the only instruments with fast X-ray timing capability. Therefore, we propose for a 50 ks of joint observations with NICER and AstroSat of the Z-type neutron star LMXB GX 17+2. These observations will provide new knowledge about kHz QPOs, thus making a significant progress in understanding the fundamental physics of neutron stars. Besides, these observations will uniquely enable the joint tracking of a Z-source state in the very soft band and the hard band for the first time.",sudip
5,2018-09-11 10:40:04,T02_100,T01,T02_100T01_9000002354,4u1630-472,248.506708,-47.393000,laxpc1,"The X-ray transient source 4U1630-472 is in its outburst and is in its decay phase now. A preliminary analysis of the initial observations of the source in its rising phase is carried out and we would like to observe the source during its decay phase also, to do detailed spectral and timing studies with AstroSat. We propose to observe the black-hole transient with SXT, LAXPC and CZTI payloads onboard AstroSat during this outburst. We plan to observe this source for 10 ks per day during the complete outburst. The data obtained will be used to study the spectral transition, complex spectral and temporal behaviour. This proposal is in continuation of the earlier proposal T02_097, in order to observe the source every day for 10 ks during its entire outburst.",ramadevi
6,2018-09-11 17:33:38,T02_104,T01,T02_104T01_9000002356,1ES2344+514,356.770150,51.704970,laxpc1,"Our overall science goal is to investigate the physics of relativistic jets launched by accreting supermassive black holes (AGN), using highly Doppler-beamed AGN or blazars within the framework of the Blazar Divide. The key to such an investigation is the measurement of their SED across the electromagnetic spectrum. 1ES2344+514 is currently brightening. We propose an ASTROSAT TOO, simultaneous with already triggered Whole Earth Blazar Telescope observations and a uGMRT polarimetry TOO to obtain a rigorous SED with simultaneous multi- frequency measurements. During the AO3 and AO4 ASTROSAT cycles, we have flux measurements of this LAXPC-detectable, UVIT-safe AGN, but coordinated observations with the WEBT/uGMRT were not possible. The present TOO is intended to fill this gap and achieve our objective of simultaneous optical/IR and radio observations. We will harness the Whole Earth Blazar Telescope for simultaneous of optical/IR/radio photometry/polarimetry. We request a total of 12ksecs with LAXPC, SXT & FUV.",pshastri
7,2018-09-12 02:00:12,G08_046,T09,G08_046T09_9000002358,Sky-9_75_50,237.370539,47.104903,laxpc1,LAXPC background may change with time and direction and we need to observe BG to study faint sources. It is very important observation to analyses data with source strength below 20% of background (AstroSat has 50% such observations).,jsyadav
8,2018-09-12 13:20:00,T02_090,T01,T02_090T01_9000002360,Crab,83.633083,22.014494,sxt,"This proposal is for Astrosat participation in the bi-annual multi-mission cross-correlation activity organised by IACHEC. It is proposed to carry out the Astrosat observations this time in two parts: Part-I with SXT pointing and Part-II with LAXPC pointing, as it is essential to have the source on-axis in a given instrument for calibration of its effective area and response function. It may be noted that the last coordinated observations in April 2018 were carried out with UVIT and CZTI pointings.",dipankar
9,2018-09-12 23:50:00,G08_046,T09,G08_046T09_9000002362,Sky-9_75_50,237.370539,47.104903,laxpc1,LAXPC background may change with time and direction and we need to observe BG to study faint sources. It is very important observation to analyses data with source strength below 20% of background (AstroSat has 50% such observations).,jsyadav
10,2018-09-13 08:10:26,T02_090,T01,T02_090T01_9000002364,Crab,83.633083,22.014494,sxt,"This proposal is for Astrosat participation in the bi-annual multi-mission cross-correlation activity organised by IACHEC. It is proposed to carry out the Astrosat observations this time in two parts: Part-I with SXT pointing and Part-II with LAXPC pointing, as it is essential to have the source on-axis in a given instrument for calibration of its effective area and response function. It may be noted that the last coordinated observations in April 2018 were carried out with UVIT and CZTI pointings.",dipankar
