Id,Name,RA,DE,B-V,Cat,class,E(B-V),Fx,GLAT,GLON,Opt,Porb,Porb2,Ppulse,Range,SpType,Type,U-B,Vmag,r_Fx,r_Opt,r_Ppulse,r_Vmag,Papers
1,2A 0042+323,11.21,33.0213888888889,0.6,"U,M,A,AS,R,B,X",lmxb,0.2,0.5,-29.8,121.3,*3,,,,,,T,,19.3,103,168,,168,
2,GRO J0422+32,64.6245833333333,32.79,0.3,"C,Gr,R,K,AS,X",lmxb,0.23,3000,-11.9,197.3,,5.1,,,(20-300keV),,T,-0.5,13.2,433991,,125150664980,"1151,1158,1159",
3,3A 0512-401,78.5275,-40.0436111111111,,"U,M,A,H,G,Exo",lmxb,0.1,3,-35,244.5,NGC1851,,,,,,GB,,,"124,999,1366",475,,2,
4,1M 0521-720,80.1216666666667,-71.96,0,"U,M,A,H,X,R",lmxb,0.1,9,-32.7,283.1,*22,8.16,,,,,Z?,-0.8,18,103,637,"121,1173",121260778,28
5,RX J0532.7-6926,83.1783333333333,-69.4383333333333,,R,lmxb,,0.5,-32.1,279.9,,,,,,,,,,484,,,,
6,4U 0614+091,94.2804166666667,9.13694444444444,0.3,"U,M,A,H,S,Gr,E,Exo,X,B",lmxb,0.3,50,-3.4,200.9,V1055 Ori,,,,,,AB,-0.5,18.5,"1399,1448",323447,,287,
7,3A 0620-003,95.6854166666667,-0.345833333333333,0.2,"A,S,R",lmxb,0.4,0.02,-6.5,210,V616 Mon,7.75,,,,,TU,-0.8,11.2,"774,1407",331447,857,1407,
8,3A 0656-072,104.6125,-7.26388888888889,,A,lmxb,,20,-1.7,220.2,,,,,,,T,,,143215656,,,,
9,EXO 0748-676,117.140833333333,-67.7525,0.1,"Exo,AS,R,G,X",lmxb,0.42,0.1,-19.3,280,UY Vol,3.82,,,,,TBD,-0.9,16.9,443,1262,"998,1001","1125,1128",
10,SAX J0835.9+5118,128.983333333333,51.31,,B,lmxb,,6,36.9,167.5,,,,,,,TB,,,399,,,,
11,4U 0836-429,129.345833333333,-42.8858333333333,,"U,M,Gr,G,R",lmxb,,1,-1.1,261.9,,,,,,,TB,,,230511794,72,,,
12,3A 0918-549,140.111666666667,-55.2066666666667,0.3,"U,M,A,H,S",lmxb,0.3,10,-3.8,275.9,*X,,,,,,,-0.9,21,187,187,,"187,1348",
13,3A 0921-630,140.644583333333,-63.295,0.6,"A,S,Exo",lmxb,0.2,3,-9.3,281.8,V395 Car,216.2,,,,,D,-0.5,15.3,760847,760,846847,"113,186,847,1348",
14,GRS 1009-45,153.4,-45.0763888888889,0.13,"C, AS, Gr",lmxb,0.2,800,9.4,275.4,*1,,,,(1-10keV),,TU,,14.71,1263,"306,1140",,306,
15,XTE J1118+480,169.545208333333,48.0369166666667,,"AS,X,C",lmxb,0.024,40,62.3,157.6,*1,4.1,,,(2-12keV),,TA?,,12.25,1084,1312,"232,1312","410,1312",
16,GS 1124-684,171.61125,-68.6758333333333,0.3,"Gr,G,C",lmxb,0.25,4,-6.1,295,,10.4,,,,,TU,,13.6,"1235,1241",303,"27,867,1075",303435,
17,4U 1254-690,194.405,-69.2891666666667,0.3,"U,M,A,H,S,X,G",lmxb,0.35,25,-6.4,303.5,GR Mus,3.93,,,,,BD,,19.1,247,463,247927,927,
18,4U 1323-619,201.650416666667,-62.1361111111111,,"U,M,A,B",lmxb,5,7,0.2,307.1,,2.93,,,,,BD,,,"1000,1399",1000,1000,1000,36
19,GS 1354-645,209.540416666667,-64.7347222222222,1.1,"M,G,X",lmxb,1,5,-2.8,310,BW Cir,,,,,,TU,-0.1,16.9,"678,1135",678,,678,
20,XB 1455-314,224.591666666667,-31.6688888888889,0.05,"V,A,Ha,AS,B,R",lmxb,0.1,0.1,23.9,332.2,V822 Cen,15.1,,,,,TB,-0.9,12.8,"231,1350",141,196254858,84141,
