ID,NAME,RA,Dec,isObserved,Desc,Publications
1,Src1,288.798125,10.945767,True,Target of Opportunity,"39,19"
2,Src2,308.063642,37.637456,True,Target of Opportunity,"13,45"
3,Src3,12.08,85.223917,True,Target of Opportunity,"69,32"
4,Src4,264.495,-37.772,True,Target of Opportunity,"9,7"
5,Src5,295.66935,-10.323492,True,Target of Opportunity,"63,46"
6,Src6,12.08,85.223917,True,Calibration,"45,49"
7,Src7,277.673792,-6.754861,True,Target of Opportunity,"12,49"
8,Src8,237.391917,70.348089,True,Calibration,"14,6"
9,Src9,11.37,41.902806,True,Target of Opportunity,"82,54"
10,Src10,237.391917,70.348089,True,Calibration,"32,42"
11,Src11,340.726697,29.712317,True,Target of Opportunity,"69,68"
12,Src12,11.37,41.902806,True,Target of Opportunity,"45,35"
13,Src13,84.727393,26.315789,True,Target of Opportunity,"86,63"
14,Src14,11.037,41.557347,True,ASTROSAT multi-epoch imaging survey of M31: high FUV sensitivity and FUV-variable sources,"57,56"
15,Src15,334.9625,-48.711111,True,ASTROSAT-UVIT follow-up observations of transient J221951-484240,"72,80"
16,Src16,21.742062,-32.543177,True,Bow Shocks around Asymptotic Giant Branch (AGB) Stars: U Hya and R Scl in the Ultraviolet,"64,27"
17,Src17,174.811967,17.143669,True,UVIT Observation of Giant Low Surface Brightness Galaxies UGC 6614 and NGC 1042,"20,59"
18,Src18,40.099863,-8.433544,True,UVIT Observation of Giant Low Surface Brightness Galaxies UGC 6614 and NGC 1042,"1,28"
19,Src19,334.12125,-21.430694,True,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"65,20"
20,Src20,10.710708,41.250228,True,ASTROSAT multi-epoch imaging survey of M31: high FUV sensitivity and FUV-variable sources,"60,6"
21,Src21,11.037,41.557347,True,ASTROSAT multi-epoch imaging survey of M31: high FUV sensitivity and FUV-variable sources,"12,56"
22,Src22,334.9625,-48.711111,True,ASTROSAT-UVIT follow-up observations of transient J221951-484240,"86,76"
23,Src23,23.575833,-29.4185,True,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"51,1"
24,Src24,356.965417,-30.522,True,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"75,43"
25,Src25,66.502958,-57.200492,True,To probe strong gravitational effect near the black hole in Seyfert galaxy 1H 0419-577,"10,73"
26,Src26,174.811967,17.143669,True,UVIT Observation of Giant Low Surface Brightness Galaxies UGC 6614 and NGC 1042,"73,76"
27,Src27,71.427083,-59.247181,True,PHANGS-AstroSat: Resolving the Effect of Galactic Environment on Cloud and Cluster Lifetimes with UVIT,"85,2"
28,Src28,160.990417,11.703806,True,PHANGS-AstroSat: Resolving the Effect of Galactic Environment on Cloud and Cluster Lifetimes with UVIT,"42,15"
29,Src29,46.01,-12.07,True,Imaging very extended galaxy clusters selected from ROSAT,"19,35"
30,Src30,41.579375,-30.274889,True,PHANGS-AstroSat: Resolving the Effect of Galactic Environment on Cloud and Cluster Lifetimes with UVIT,"68,25"
31,Src31,25.76,13.645056,True,A UVIT view into the formation and evolution of Polar Ring Galaxies,"35,59"
32,Src32,37.083792,-31.881028,True,A UVIT view into the formation and evolution of Polar Ring Galaxies,"5,1"
33,Src33,41.579583,-30.274889,True,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"6,28"
34,Src34,159.862042,47.947111,True,A UVIT view into the formation and evolution of Polar Ring Galaxies,"60,54"
35,Src35,110.755833,36.35475,True,Probing galaxy interactions on small scales: UV views of interacting dwarfs in the Lynx-Cancer Void,"45,46"
36,Src36,96.3175,73.577472,True,A Survey of Hard Intermediate Polars,"5,57"
37,Src37,175.909583,71.688806,True,A Survey of Hard Intermediate Polars,"17,52"
38,Src38,135.100417,25.614806,True,Probing galaxy interactions on small scales: UV views of interacting dwarfs in the Lynx-Cancer Void,"81,56"
39,Src39,334.9625,-48.711111,True,ASTROSAT-UVIT follow-up observations of transient J221951-484240,"74,32"
40,Src40,351.473333,42.535,True,Far-UV Imaging Observations of Galactic Planetary Nebulae with the UVIT,"85,42"
41,Src41,177.900192,16.664286,True,A UVIT view into the formation and evolution of Polar Ring Galaxies,"55,3"
42,Src42,129.544583,48.634444,True,A Survey of Hard Intermediate Polars,"80,25"
43,Src43,269.639183,66.632986,True,Far-UV Imaging Observations of Galactic Planetary Nebulae with the UVIT,"36,77"
44,Src44,222.810042,35.542269,True,A UVIT view into the formation and evolution of Polar Ring Galaxies,"74,2"
45,Src45,237.391917,70.348089,True,Calibration,"42,35"
46,Src46,133.703646,20.108511,True,Detailed Spectro-temporal Study and Characterization of the new broadband Emission in BL-Lac OJ 287,"82,28"
47,Src47,170.889833,67.186083,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"72,5"
48,Src48,41.579375,-30.274889,True,To understand the AGN Feedback processes in nearby LINER type galaxy NGC 1097,"19,74"
49,Src49,13.395554,12.693313,True,Far UV emission and the origin of soft X-ray excess emission in PG quasars,"3,20"
50,Src50,197.524333,34.181111,True,A UVIT view into the formation and evolution of Polar Ring Galaxies,"54,17"
51,Src51,17.033625,-15.511869,True,ASTROSAT survey of GASP jelly_x005F_x000C_fish galaxies,"14,48"
52,Src52,243.488246,65.719432,True,Far UV emission and the origin of soft X-ray excess emission in PG quasars,"68,86"
53,Src53,124.595833,-11.19415,True,Far UV Spectroscopy of the Suspected Symbiotic Systems,"13,64"
54,Src54,161.325,35.320278,True,An FUV Study of Star Formation and Stellar/AGN Feedback in Double Nuclei Galaxies.,"78,63"
55,Src55,168.950208,29.18825,True,Search for XUV disks in Blue Compact Dwarfs,"57,17"
56,Src56,166.805,65.101944,True,An FUV Study of Star Formation and Stellar/AGN Feedback in Double Nuclei Galaxies.,"60,29"
57,Src57,10.520912,-9.534464,True,ASTROSAT survey of GASP jelly_x005F_x000C_fish galaxies,"12,29"
58,Src58,37.206292,-9.031611,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"25,2"
59,Src59,155.885833,10.959722,True,An FUV Study of Star Formation and Stellar/AGN Feedback in Double Nuclei Galaxies.,"58,7"
60,Src60,166.880125,13.786889,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"78,55"
61,Src61,211.228042,12.704689,True,A UVIT view into the formation and evolution of Polar Ring Galaxies,"67,33"
62,Src62,211.223833,12.721694,True,A UVIT view into the formation and evolution of Polar Ring Galaxies,"33,77"
63,Src63,81.34375,24.2255,True,A Survey of Hard Intermediate Polars,"51,10"
64,Src64,174.55375,12.111944,True,An FUV Study of Star Formation and Stellar/AGN Feedback in Double Nuclei Galaxies.,"18,28"
65,Src65,185.3865,14.606167,True,PHANGS-AstroSat: Resolving the Effect of Galactic Environment on Cloud and Cluster Lifetimes with UVIT,"18,32"
66,Src66,191.8,13.900356,True,PHANGS-AstroSat: Resolving the Effect of Galactic Environment on Cloud and Cluster Lifetimes with UVIT,"13,84"
67,Src67,168.950208,29.18825,True,Search for XUV disks in Blue Compact Dwarfs,"55,28"
