RAdeg,DEdeg,F148W,e_F148W,P_F6,P_F10,class
114.6463,21.54528,22.42,0.34,,,
114.6017,21.58849,22.02,0.22,0.801,0.032,C
114.6117,21.55206,21.5,0.14,,,
114.5977,21.59536,22.21,0.25,0.965,0.995,M
114.6102,21.58255,22.04,0.18,,,
114.5805,21.58936,21.9,0.19,0.984,0.994,M
114.6261,21.54176,22.11,0.19,0.992,0.994,M
114.6368,21.57161,21.7,0.17,0.993,0.995,M
114.6417,21.6039,22.42,0.24,0.987,0.994,M
114.6156,21.60505,22.73,0.27,0.987,0.995,M
114.6287,21.59709,21.98,0.24,0.993,0.995,M
114.5849,21.64855,22.5,0.25,0.974,0.995,M
114.5994,21.53698,21.58,0.18,0.916,0.938,M
114.6302,21.61495,21.93,0.17,0.991,0.995,M
114.6249,21.62911,22.93,0.34,0.99,0.995,M
114.6767,21.53918,21.68,0.16,0.977,0.99,M
114.6608,21.55159,22.02,0.21,0.986,0.995,M
114.6187,21.64091,22.89,0.26,0.99,0.995,M
114.6603,21.61314,22.53,0.24,0.989,0.995,M
114.5993,21.55422,21.88,0.18,0.985,0.926,M
114.5868,21.5531,22.01,0.17,0.982,0.994,M
114.6236,21.55094,22.06,0.22,0.983,0.877,M
114.5714,21.54332,22.46,0.24,0.941,0.959,M
114.6102,21.50413,23.18,0.34,0.979,0.972,M
114.535,21.57846,23.24,0.3,0.981,0.994,M
114.6179,21.50673,22.29,0.19,0.978,0.986,M
114.564,21.5516,22.56,0.3,0.964,0.979,M
114.5937,21.5356,22.2,0.25,0.662,0.037,F
114.6224,21.57516,17.59,0.02,0.993,0.994,M
114.6673,21.61513,22.33,0.2,0.989,0.995,M
114.5348,21.59766,23.16,0.33,0.975,0.993,M
114.5559,21.57587,22.97,0.27,0.98,0.992,M
114.5966,21.53757,22.24,0.26,,,
114.6266,21.59136,22.84,0.31,0.993,0.995,M
114.572,21.56925,22.63,0.31,0.634,0.566,F
114.6541,21.61437,22.09,0.19,0.989,0.995,M
114.5745,21.55646,21.39,0.12,,,
114.5633,21.57932,22.32,0.26,0.982,0.994,M
114.585,21.56706,22.02,0.2,0.983,0.995,M
114.5626,21.5844,22.36,0.35,0.975,0.859,M
114.5795,21.57926,21.42,0.16,0.985,0.994,M
114.588,21.56928,22.38,0.24,0.984,0.995,M
114.5889,21.57588,22.14,0.21,0.98,0.994,M
114.6156,21.58076,19.98,0.08,0.03,0.04,F
114.5907,21.58006,22.84,0.32,0.98,0.995,M
114.6054,21.56374,22.16,0.2,0.992,0.995,M
114.6046,21.56936,22.24,0.2,0.99,0.994,M
114.5818,21.58957,22.65,0.24,0.983,0.993,M
114.6083,21.56742,21.96,0.2,0.993,0.995,M
114.5993,21.58172,21.97,0.22,0.88,0.653,C
114.5938,21.59335,22.62,0.23,0.972,0.995,M
114.6108,21.54271,21.97,0.18,0.992,0.995,M
114.569,21.62248,20.2,0.09,,,
114.7849,21.6337,19.64,0.08,,,
