RAdeg,DEdeg,F169M,F169M_sat,e_F169M,P_F6,P_F10,class
308.6433,28.25829,19.78,,0.08,0.003,0.005,F
308.7407,28.22939,19.88,,0.09,,,
308.6312,28.23331,19.7,,0.1,0.96,0.992,M
308.9526,28.28288,17.86,,0.04,0.732,0.006,C
308.8039,28.35747,20.92,,0.18,0.972,0.994,M
308.74,28.19158,19.04,,0.09,0.964,0.995,M
308.9463,28.35821,22.27,,0.3,,,
308.8802,28.4121,21.03,,0.21,0.939,0.989,M
308.5667,28.33733,20.94,,0.14,0.922,0.988,M
308.7849,28.18226,18.44,,0.13,0.794,0.002,C
308.688,28.22417,19.75,,0.09,0.882,0.881,M
308.8321,28.2673,20.58,,0.14,0.949,0.995,M
308.7271,28.26619,19.88,,0.1,0.659,0.018,F
308.8354,28.23501,18.24,,0.05,0.961,0.99,M
308.6264,28.30733,20.86,,0.16,,,
308.797,28.40219,16.35,,0.02,0.965,0.012,C
308.6271,28.30083,21.88,,0.28,0.021,0.009,F
308.6054,28.27659,18.33,,0.06,0.025,0.049,F
308.7557,28.26639,19.47,,0.1,0.959,0.995,M
308.6052,28.27178,18.96,,0.08,0.964,0.995,M
308.8691,28.36416,20.21,,0.1,0.955,0.994,M
308.853,28.2953,20.88,,0.17,,,
308.6722,28.2308,21.07,,0.18,,,
308.6141,28.24106,19.77,,0.1,0.935,0.995,M
308.7476,28.20438,19.98,,0.1,0.913,0.995,M
308.6486,28.27774,19.58,,0.08,0.962,0.995,M
308.6251,28.24139,18.9,,0.07,0.959,0.004,C
308.5925,28.26258,19.51,,0.1,0.953,0.992,M
308.7422,28.30153,19.16,,0.06,,,
308.7541,28.2897,17.56,,0.03,0.904,0.006,C
308.7782,28.31646,21.87,,0.24,,,
308.7813,28.3479,19.92,,0.09,0.973,0.994,M
308.5955,28.36141,18.16,,0.05,0.927,0.963,M
308.6655,28.29696,21.35,,0.19,0.953,0.995,M
308.9519,28.32136,19.07,,0.08,0.679,0.506,F
308.6515,28.27563,19.43,,0.08,0.011,0.03,F
308.6419,28.23375,21.41,,0.18,0.934,0.995,M
308.6425,28.22846,21.31,,0.21,,,
